2025-09-10 11:15:17,545 INFO    MainThread:3680483 [wandb_setup.py:_flush():79] Current SDK version is 0.18.3
2025-09-10 11:15:17,546 INFO    MainThread:3680483 [wandb_setup.py:_flush():79] Configure stats pid to 3680483
2025-09-10 11:15:17,546 INFO    MainThread:3680483 [wandb_setup.py:_flush():79] Loading settings from /root/.config/wandb/settings
2025-09-10 11:15:17,546 INFO    MainThread:3680483 [wandb_setup.py:_flush():79] Loading settings from /apdcephfs/private_pighzliu/minimind/wandb/settings
2025-09-10 11:15:17,546 INFO    MainThread:3680483 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-09-10 11:15:17,547 INFO    MainThread:3680483 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2025-09-10 11:15:17,547 INFO    MainThread:3680483 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'train_full_sft.py', 'program_abspath': '/apdcephfs/private_pighzliu/minimind/train_full_sft.py', 'program': 'train_full_sft.py'}
2025-09-10 11:15:17,547 INFO    MainThread:3680483 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-09-10 11:15:17,547 INFO    MainThread:3680483 [wandb_init.py:_log_setup():532] Logging user logs to /apdcephfs/private_pighzliu/minimind/wandb/run-20250910_111516-x6aw3xsp/logs/debug.log
2025-09-10 11:15:17,548 INFO    MainThread:3680483 [wandb_init.py:_log_setup():533] Logging internal logs to /apdcephfs/private_pighzliu/minimind/wandb/run-20250910_111516-x6aw3xsp/logs/debug-internal.log
2025-09-10 11:15:17,548 INFO    MainThread:3680483 [wandb_init.py:init():617] calling init triggers
2025-09-10 11:15:17,548 INFO    MainThread:3680483 [wandb_init.py:init():624] wandb.init called with sweep_config: {}
config: {}
2025-09-10 11:15:17,548 INFO    MainThread:3680483 [wandb_init.py:init():667] starting backend
2025-09-10 11:15:17,548 INFO    MainThread:3680483 [wandb_init.py:init():671] sending inform_init request
2025-09-10 11:15:17,553 INFO    MainThread:3680483 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-09-10 11:15:17,553 INFO    MainThread:3680483 [wandb_init.py:init():684] backend started and connected
2025-09-10 11:15:17,562 INFO    MainThread:3680483 [wandb_init.py:init():779] updated telemetry
2025-09-10 11:15:18,315 INFO    MainThread:3680483 [wandb_init.py:init():812] communicating run to backend with 90.0 second timeout
2025-09-10 11:15:18,967 INFO    MainThread:3680483 [wandb_init.py:init():863] starting run threads in backend
2025-09-10 11:15:19,371 INFO    MainThread:3680483 [wandb_run.py:_console_start():2465] atexit reg
2025-09-10 11:15:19,372 INFO    MainThread:3680483 [wandb_run.py:_redirect():2313] redirect: wrap_raw
2025-09-10 11:15:19,373 INFO    MainThread:3680483 [wandb_run.py:_redirect():2378] Wrapping output streams.
2025-09-10 11:15:19,373 INFO    MainThread:3680483 [wandb_run.py:_redirect():2403] Redirects installed.
2025-09-10 11:15:19,397 INFO    MainThread:3680483 [wandb_init.py:init():907] run started, returning control to user process
